一|one
片|one-sided, leaf, sheet
班|squad, corps, unit, group
異|uncommon, queerness, strangeness, wonderful, curious, unusual
疑|doubt, distrust, be suspicious, question
痛|pain, hurt, damage, bruise
皇|emperor
盛|boom, prosper, copulate
盟|alliance, oath
看|watch over, see
砂|sand
磁|magnet, porcelain
私|private, I, me
秘|secret, conceal
穀|cereals, grain
穴|hole, aperture, slit, cave, den
窓|window, pane
筋|muscle, sinew, tendon, fiber, plot, plan, descent
策|scheme, plan, policy, step, means
簡|simplicity, brevity
糖|sugar
系|lineage, system
紅|crimson, deep red
納|settlement, obtain, reap, pay, supply, store
純|genuine, purity, innocence, net (profit)
絹|silk
縦|vertical, length, height, self-indulgent, wayward
縮|shrink, contract, shrivel, wrinkle, reduce
署|signature, govt office, police station
翌|the following, next
聖|holy, saint, sage, master, priest
肺|lungs
背|stature, height, back, behind, disobey, defy, go back on, rebel
胸|bosom, breast, chest, heart, feelings
脳|brain, memory
腹|abdomen, belly, stomach
臓|entrails, viscera, bowels
臨|look to, face, meet, confront, attend, call on
至|climax, arrive, proceed, reach, attain, result in
若|young, if, perhaps, possibly, low number, immature
著|renowned, publish, write, remarkable, phenomenal, put on, don, wear, arrival, finish (race), counter for suits of clothing, literary work
蒸|steam, heat, sultry, foment, get musty
蔵|storehouse, hide, own, have, possess
蚕|silkworm
衆|masses, great numbers, multitude, populace
裁|tailor, judge, decision, cut out (pattern)
装|attire, dress, pretend, disguise, profess
裏|back, amidst, in, reverse, inside, palm, sole, rear, lining, wrong side
補|supplement, supply, make good, offset, compensate, assistant, learner
視|inspection, regard as, see, look at
覧|perusal, see
討|chastise, attack, defeat, destroy, conquer
訪|call on, visit, look up, offer sympathy
訳|translate, reason, circumstance, case
詞|part of speech, words, poetry
誌|document, records
認|acknowledge, witness, discern, recognize, appreciate, believe
誕|nativity, be born, declension, lie, be arbitrary
誠|sincerity, admonish, warn, prohibit, truth, fidelity
誤|mistake, err, do wrong, mislead
論|argument, discourse
諸|various, many, several, together
警|admonish, commandment
貴|precious, value, prize, esteem, honor
賃|fare, fee, hire, rent, wages, charge
遺|bequeath, leave behind, reserve
郵|mail, stagecoach stop
郷|home town, village, native place, district
針|needle, pin, staple, stinger
鋼|steel
閉|closed, shut
閣|tower, tall building, palace
降|descend, precipitate, fall, surrender
陛|highness, steps (of throne)
除|exclude, division (x/3), remove, abolish, cancel, except
障|hinder, hurt, harm
難|difficult, impossible, trouble, accident, defect
革|leather, become serious, skin, hide, pelt
頂|place on the head, receive, top of head, top, summit, peak
骨|skeleton, bone, remains, frame
歳|year-end, age, occasion, opportunity
与|bestow, participate in, give, award, impart, provide, cause, gift, godsend
違|difference, differ
渡|transit, ford, ferry, cross, import, deliver, diameter, migrate
突|stab, protruding, thrusting, thrust, pierce, prick
捕|catch, capture
迎|welcome, meet, greet
彼|he, that, the
舞|dance, flit, circle, wheel
込|crowded, mixture, in bulk, included, (kokuji)
頼|trust, request
途|route, way, road
抜|slip out, extract, pull out, pilfer, quote, remove, omit
婚|marriage
浮|floating, float, rise to surface
押|push, stop, check, subdue, attach, seize, weight, shove, press, seal, do in spite of
倒|overthrow, fall, collapse, drop, break down
払|pay, clear out, prune, banish, dispose of
遅|slow, late, back, later
更|grow late, night watch, sit up late, of course
抱|embrace, hug, hold in arms
恐|fear, dread, awe
戻|re-, return, revert, resume, restore, go backwards
越|surpass, cross over, move to, exceed, Vietnam
互|mutually, reciprocally, together
逃|escape, flee, shirk, evade, set free
緒|thong, beginning, inception, end, cord, strap
掛|hang, suspend, depend, arrive at, tax
到|arrival, proceed, reach, attain, result in
寝|lie down, sleep, rest, bed, remain unsold
盗|steal, rob, pilfer
御|honorable, manipulate, govern
吹|blow, breathe, puff, emit, smoke
娘|daughter, girl
怒|angry, be offended
杯|cupfuls, wine glass, glass, toast
疲|exhausted, tire, weary
皆|all, everything
煙|smoke
眠|sleep, die, sleepy
怖|dreadful, be frightened, fearful
髪|hair of the head
忙|busy, occupied, restless
靴|shoes
恥|shame, dishonor
偶|accidentally, even number, couple, man & wife, same kind
偉|admirable, greatness, remarkable, conceited, famous, excellent
猫|cat
幾|how many, how much, how far, how long
環|ring, circle, link, wheel
欧|Europe
被|incur, cover, veil, brood over, shelter, wear, put on, be exposed (film), receiving
含|include, bear in mind, understand, cherish
況|condition, situation
湾|gulf, bay, inlet
捜|search, look for, locate
超|transcend, super-, ultra-
療|heal, cure
介|jammed in, shellfish, mediate, concern oneself with
販|marketing, sell, trade
幅|hanging scroll, width
般|carrier, carry, all
換|interchange, period, charge, change?
占|fortune telling, divine, forecast, occupy, hold, have, get, take
伸|expand, stretch, extend, lengthen, increase
爆|bomb, burst open, pop, split
普|universal, wide(ly), generally, Prussia
齢|age
了|complete, finish
絡|entwine, coil around, get caught in
募|recruit, campaign, gather (contributions), enlist, grow violent
昇|rise up
香|incense, smell, perfume
巨|gigantic, big, large, great
震|quake, shake, tremble, quiver, shiver
触|contact, touch, feel, hit, proclaim, announce, conflict
依|reliant, depend on, consequently, therefore, due to
汚|dirty, pollute, disgrace, rape, defile
恵|favor, blessing, grace, kindness
傾|lean, incline, tilt, trend, wane, sink, ruin, bias
駐|stop-over, reside in, resident
紹|introduce, inherit, help
雇|employ, hire
替|exchange, spare, substitute, per-
贈|presents, send, give to, award to, confer on, presenting something
薄|dilute, thin, weak (tea)
奥|heart, interior
詰|packed, close, pressed, reprove, rebuke, blame
双|pair, set, comparison, no. of pairs
刺|thorn, pierce, stab, prick, sting, calling card
壁|wall, lining (stomach), fence
悩|trouble, worry, in pain, distress, illness
荒|laid waste, rough, rude, wild
硬|stiff, hard
埋|bury, be filled up, embedded
袋|sack, bag, pouch
封|seal, closing
賢|intelligent, wise, wisdom, cleverness
腕|arm, ability, talent
較|contrast, compare
床|bed, floor, padding, tatami
柔|tender, weakness, gentleness, softness
殿|Mr., hall, mansion, palace, temple, lord
濃|concentrated, thick, dark, undiluted
肩|shoulder
零|zero, spill, overflow, nothing, cipher
泊|overnight, put up at, ride at anchor, 3-day stay
甘|sweet, coax, pamper, be content, sugary
掃|sweep, brush
掘|dig, delve, excavate
軟|soft
沈|sink, be submerged, subside, be depressed, aloes
凍|frozen, congeal, refrigerate
恋|romance, in love, yearn for, miss, darling
郊|outskirts, suburbs, rural area
腰|loins, hips, waist, low wainscoting
踊|jump, dance, leap, skip
珍|rare, curious, strange
狭|cramped, narrow, contract, tight
喫|consume, eat, drink, smoke, receive (a blow)
溶|melt, dissolve, thaw
涙|tears, sympathy
匹|equal, head, counter for small animals, roll of cloth
鋭|pointed, sharpness, edge, weapon, sharp, violent
塗|paint, plaster, daub, smear, coating
軒|flats, counter for houses, eaves
叫|shout, exclaim, yell
乾|drought, dry, dessicate, drink up, heaven, emperor
祈|pray, wish
汗|sweat, perspire
湿|damp, wet, moist
咲|blossom, bloom
召|seduce, call, send for, wear, put on, ride in, buy, eat, drink, catch (cold)
脂|fat, grease, tallow, lard, rosin, gum, tar
肌|texture, skin, body, grain
鈍|dull, slow, foolish, blunt
泥|mud, mire, adhere to, be attached to
隅|corner, nook
辛|spicy, bitter, hot, acrid
磨|grind, polish, scour, improve, brush (teeth)
姓|surname
筒|cylinder, pipe, tube, gun barrel, sleeve
粒|grains, drop, counter for tiny particles
畳|tatami mat, counter for tatami mats, fold, shut up, do away with
膚|skin, body, grain, texture, disposition
濯|laundry, wash, pour on, rinse
塔|pagoda, tower, steeple
沸|seethe, boil, ferment, uproar, breed
菓|candy, cakes, fruit
帽|cap, headgear
枯|wither, die, dry up, be seasoned
涼|refreshing, nice and cool
舟|boat, ship
符|token, sign, mark, tally, charm
憎|hate, detest
肯|agreement, consent, comply with
燥|parch, dry up
畜|livestock, domestic fowl and animals
坊|boy, priest's residence, priest, your, his, or her boy
挟|pinch, between
曇|cloudy weather, cloud up
滴|drip, drop
伺|pay respects, visit, ask, inquire, question, implore
企|undertake, scheme, design, attempt, plan
藤|wistaria
沢|swamp
援|abet, help, save
施|alms, apply bandages, admin 1st aid
井|well
鮮|fresh, vivid, clear, brilliant, Korea
監|oversee, official, govt office, rule, administer
審|hearing, judge, trial
訴|accusation, sue, complain of pain, appeal to
影|shadow, silhouette, phantom
撃|beat, attack, defeat, conquer
佐|assistant, help
核|nucleus, core, kernel
融|dissolve, melt
渉|ford, ferry, port
響|echo, also N5116, sound, resound, ring, vibrate
請|solicit, invite, ask
攻|aggression, attack
崎|promontory, cape, spit
督|coach, command, urge, lead, supervise
催|sponsor, hold (a meeting), give (a dinner)
及|reach out, exert, exercise, cause
離|detach, separation, disjoin, digress
摘|pinch, pick, pluck, trim, clip, summarize
郎|son, counter for sons
振|shake, wave, wag, swing
献|offering, no. of drinks, present, offer
維|fiber, tie, rope
浜|seacoast, beach, seashore
塁|bases, fort, rampart, walls, base(ball)
邦|home country, country, Japan
遣|dispatch, send, give, donate, do, undertake
抗|confront, resist, defy, oppose
雄|masculine, male, hero, leader, superiority, excellence
緊|tense, solid, hard, reliable, tight
廃|abolish, obsolete, cessation, discarding, abandon
江|creek, inlet, bay
僚|colleague, official, companion
吉|good luck, joy, congratulations
踏|step, trample, carry through, appraise, evade payment
壊|demolition, break, destroy
債|bond, loan, debt
儀|ceremony, rule, affair, case, a matter
継|inherit, succeed, patch, graft (tree)
闘|fight, war
葬|interment, bury, shelve
避|evade, avoid, avert, ward off, shirk, shun
逮|apprehend, chase
迫|urge, force, imminent, spur on
惑|beguile, delusion, perplexity
崩|crumble, die, demolish, level
聴|listen, headstrong, naughty, careful inquiry
脱|undress, removing, escape from, get rid of, be left out, take off
患|afflicted, disease, suffer from, be ill
締|tighten, tie, shut, lock, fasten
執|tenacious, take hold, grasp, take to heart
房|tassel, tuft, fringe, bunch, lock (hair), segment (orange), house, room
撤|remove, withdraw, disarm, dismantle, reject, exclude
削|plane, sharpen, whittle, pare
措|set aside, give up, suspend, discontinue, lay aside, except
載|load, multiplication, power, 10**44
陣|camp, battle array, ranks, position
為|do, change, make, benefit, welfare, be of use, reach to, try, practice, cost, serve as, good, advantage, as a result of
抑|repress, well, now, in the first place, push, shove, press, seal, do in spite of
奈|Nara, what?
択|choose, select, elect, prefer
秀|excel, excellence, beauty, surpass
徴|indications, sign, omen, symptom, collect, seek, refer to, question
弾|bullet, twang, flip, snap
償|reparation, make up for, recompense, redeem
拠|foothold, based on, follow, therefore
拒|repel, refuse, reject, decline
刑|punish, penalty, sentence, punishment
塚|hillock, mound
致|doth, do, send, forward, cause, exert, incur, engage
繰|winding, reel, spin, turn (pages), look up, refer to
尾|tail, end, no. of fish, lower slope of mtn
描|sketch, compose, write, draw, paint
鈴|small bell, buzzer
盤|tray, shallow bowl, platter, tub, board, phonograph record
項|paragraph, nape of neck, clause, item, term (expression)
喪|miss, mourning
伴|consort, accompany, bring with, companion
懸|suspend, hang, 10%, install, depend, consult
契|pledge, promise, vow
掲|put up (a notice), put up, hoist, display, hang out, publish, describe
躍|leap, dance, skip
棄|abandon, throw away, discard, resign, reject, sacrifice
邸|residence, mansion
籍|enroll, domiciliary register, membership
還|send back, return
慮|prudence, thought, concern, consider, deliberate, fear
枠|frame, framework, spindle, spool, bounding-box, (kokuji)
露|dew, tears, mortality, flimsiness
沖|open sea, offing, rise high into sky
緩|slacken, loosen, relax, lessen, be moderate, ease
需|demand, request, need
購|subscription, buy
充|allot, fill
跡|tracks, mark, print, impression
貢|tribute, support, finance
鹿|deer
却|instead, on the contrary, rather
端|edge, origin, end, point, border, verge, cape
獲|seize, get, find, earn, acquire, can, may, able to
併|join, get together, unite, collective
徹|penetrate, clear, pierce, strike home, sit up (all night)
衝|collide, brunt, highway, opposition (astronomy), thrust, pierce, stab, prick
焦|char, hurry, impatient, irritate, burn, scorch, singe
奪|rob, take by force, snatch away, dispossess, plunder, usurp
浦|bay, creek, inlet, gulf, beach, seacoast
析|chop, divide, tear, analyze
譲|defer, turnover, transfer, convey
称|appellation, praise, admire, name, title, fame
挑|challenge, contend for, make love to
誘|entice, lead, tempt, invite, ask, call for, seduce, allure
紛|distract, be mistaken for, go astray, divert
促|stimulate, urge, press, demand, incite
慎|humility, be careful, discrete, prudent
控|withdraw, draw in, hold back, refrain from, be moderate
握|grip, hold, mould sushi, bribe
俊|sagacious, genius, excellence
渋|astringent, hesitate, reluctant, have diarrhea
銃|gun, arms
携|portable, carry (in hand), armed with, bring along
診|checkup, seeing, diagnose, examine
託|consign, requesting, entrusting with, pretend, hint
撮|snapshot, take pictures
侵|encroach, invade, raid, trespass, violate
括|fasten, tie up, arrest, constrict
駆|drive, run, gallop, advance, inspire, impel
透|transparent, permeate, filter, penetrate
津|haven, port, harbor, ferry
稲|rice plant
裂|split, rend, tear
敏|cleverness, agile, alert
是|just so, this, right, justice
排|repudiate, exclude, expel, reject
裕|abundant, rich, fertile
堅|strict, hard, solid, tough, tight, reliable
芝|turf, lawn
綱|hawser, class (genus), rope, cord, cable
扱|handle, entertain, thresh, strip
顧|look back, review, examine oneself, turn around
訟|sue, accuse
戒|commandment
祉|welfare, happiness
誉|reputation, praise, honor, glory
歓|delight, joy
勧|persuade, recommend, advise, encourage, offer
騒|boisterous, make noise, clamor, disturb, excite
閥|clique, lineage, pedigree, faction, clan
甲|armor, high (voice), A grade, 1st class, former, instep, carapace
縄|straw rope, cord
揺|swing, shake, sway, rock, tremble, vibrate
免|excuse, dismissal
既|previously, already, long ago
薦|recommend, mat, advise, encourage, offer
隣|neighboring
華|splendor, flower, petal, shine, luster, ostentatious, showy, gay, gorgeous
範|pattern, example, model
隠|conceal, hide, cover
哲|philosophy, clear
杉|cedar, cryptomeria
釈|explanation
妥|gentle, peace, depravity
威|intimidate, dignity, majesty, menace, threaten
豪|overpowering, great, powerful, excelling, Australia
熊|bear
滞|stagnate, be delayed, overdue, arrears
微|delicate, minuteness, insignificance
隆|hump, high, noble, prosperity
症|symptoms, illness
暫|temporarily, a while, moment, long time
肝|liver, pluck, nerve, chutzpah
喚|yell, cry, scream
妙|exquisite, strange, queer, mystery, miracle, excellent, delicate, charming
索|cord, rope
襲|attack, advance on, succeed to
懇|sociable, kind, courteous, hospitable, cordial
柄|design, pattern, build, nature, handle, crank, grip, knob, shaft
驚|wonder, be surprised, frightened, amazed
麻|hemp, flax
剤|dose, medicine, drug
瀬|rapids, current, torrent, shallows, shoal
趣|gist, proceed to, tend, become
陥|collapse, fall into, cave in, fall (castle), slide into
斎|purification, Buddhist food, room, worship, avoid, alike
貫|pierce, 8 1/3lbs, penetrate, brace
仙|hermit, wizard, cent
慰|consolation, amusement, seduce, cheer, make sport of, comfort, console
旬|decameron, 10day period, season (for specific products
兼|concurrently, and
旨|delicious, relish, show a liking for, purport, will, clever, expert
即|instant, namely, as is, conform, agree, adapt
柳|willow
偽|falsehood, lie, deceive, pretend, counterfeit, forgery
覇|hegemony, supremacy, leadership, champion
詳|detailed, full, minute, accurate, well-informed
抵|resist, reach, touch
脅|threaten, coerce
茂|overgrown, grow thick, be luxuriant
犠|sacrifice
距|long-distance
雅|gracious, elegant, graceful, refined
飾|decorate, ornament, adorn, embellish
網|netting, network
竜|dragon, imperial
繁|luxuriant, thick, overgrown, frequency, complexity, trouble
翼|wing, plane, flank
潟|lagoon
魅|fascination, charm, bewitch
嫌|dislike, detest, hate
斉|adjusted, alike, equal, similar variety of
敷|spread, pave, sit, promulgate
擁|hug, embrace, possess, protect, lead
圏|sphere, circle, radius, range
罰|penalty, punishment
滅|destroy, ruin, overthrow, perish
礎|cornerstone, foundation stone
腐|rot, decay, sour
脚|skids, leg, undercarriage
尽|exhaust, use up, run out of, befriend, serve
僕|me, I (male)
滑|slippery, slide, slip, flunk
孤|orphan, alone
炎|inflammation, flame, blaze
賠|compensation, indemnify
寿|longevity, congratulations, ones natural life
頑|stubborn, foolish, firmly
鎖|chain, irons, connection
彩|coloring, paint, makeup
摩|chafe, rub, polish, grind, scrape
励|encourage, be diligent, inspire
輝|radiance, shine, sparkle, gleam, twinkle
蓄|amass, keeping a concubine, phonograph
軸|axis, pivot, stem, stalk, counter for book scrolls
巡|patrol, go around, circumference
稼|earnings, work, earn money
瞬|wink, blink, twinkle
砲|cannon, gun
噴|erupt, spout, emit, flush out
誇|boast, be proud, pride, triumphantly
祥|auspicious, happiness, good omen
牲|animal sacrifice, offering
秩|regularity, salary, order
帝|sovereign, the emperor, god, creator
唆|tempt, seduce, instigate, promote
阻|thwart, separate from, prevent, obstruct, deter, impede
泰|peaceful, calm, peace, easy, Thailand
賄|bribe, board, supply, finance
撲|slap, strike, hit, beat, tell, speak
堀|ditch, moat, canal
菊|chrysanthemum
絞|strangle, constrict, wring
縁|affinity, relation, connection, edge, border, verge, brink
唯|solely, only, merely, simply
膨|swell, get fat, thick
耐|-proof, enduring
塾|cram school, private school
漏|leak, escape, time
慶|jubilation, congratulate, rejoice, be happy
猛|fierce, rave, rush, become furious, wildness, strength
芳|perfume, balmy, flavorable, fragrant
懲|penal, chastise, punish, discipline
剣|sabre, sword, blade, clock hand
彰|patent, clear
棋|chess piece, Japanese chess, shogi
恒|constancy, always
揚|hoist, fry in deep fat
冒|risk, face, defy, dare, damage, assume (a name)
倫|ethics, companion
陳|exhibit, state, relate, explain
憶|recollection, think, remember
潜|submerge, conceal, hide, lower (voice), hush
梨|pear tree
克|overcome, kindly, skillfully
岳|point, peak, mountain
概|outline, condition, approximation, generally
拘|arrest, seize, concerned, adhere to, despite
黙|silence, become silent, stop speaking, leave as is
須|ought, by all means, necessarily
偏|partial, side, left-side radical, inclining, biased
雰|atmosphere, fog
遇|interview, treat, entertain, receive, deal with
諮|consult with
卓|eminent, table, desk, high
亀|tortoise, turtle
糧|provisions, food, bread
簿|register, record book
炉|hearth, furnace, kiln, reactor
殊|particularly, especially, exceptionally
殖|augment, increase, multiply, raise
艦|warship
輩|comrade, fellow, people, companions
奇|strange, strangeness, curiousity
慢|ridicule, laziness
鶴|crane, stork
謀|conspire, cheat, impose on, plan, devise, scheme, have in mind, deceive
拍|clap, beat (music)
丈|length, 10feet, measure, Mr., Ms., height, stature, all (one has), only, that's all, merely
寛|tolerant, leniency, generosity, relax, feel at home, be at ease, broadminded
覆|capsize, cover, shade, mantle, be ruined
胞|placenta, sac, sheath
隔|isolate, alternate, distance, separate, gulf
浄|clean, purify, cleanse, exorcise, Manchu Dynasty
没|drown, sink, hide, fall into, disappear, die
暇|spare time, rest, leisure, time, leave of absence
貞|upright, chastity, constancy, righteousness
鑑|specimen, take warning from, learn from
陰|shade, yin, negative, sex organs, secret, shadow
銘|inscription, signature (of artisan)
随|follow, though, notwithstanding, while, during, both, all, obey, submit to, comply, at the mercy of (the waves)
烈|ardent, violent, vehement, furious, severe, extreme
尋|inquire, fathom, look for
稿|draft, copy, manuscript, straw
丹|rust-colored, red, read lead, pills
啓|disclose, open, say
丘|hill, knoll
棟|ridgepole, ridge
壌|lot, earth, soil
漫|cartoon, involuntarily, in spite of oneself, corrupt
玄|mysterious, occultness
粘|sticky, glutinous, greasy, persevere
悟|enlightenment, perceive, discern, realize, understand
舗|shop, store
妊|pregnancy
騰|inflation, advancing, going
遂|consummate, accomplish, attain, commit (suicide)
狂|lunatic, insane, crazy, confuse
岐|branch off, fork in road, scene, arena, theater
緯|horizontal, woof, left & right, latitude
培|cultivate, foster
衰|decline, wane, weaken
艇|rowboat, small boat
屈|yield, bend, flinch, submit
淡|thin, faint, pale, fleeting
抽|pluck, pull, extract, excel
披|expose, open
廷|courts, imperial court, government office
錦|brocade, fine dress, honors
准|quasi-, semi-, associate
奨|exhort, urge, encourage
浸|immersed, soak, dip, steep, moisten, wet, dunk
剰|surplus, besides
胆|gall bladder, courage, pluck, nerve
繊|slender, fine, thin kimono
駒|pony, horse, colt
虚|void, emptiness, unpreparedness, crack, fissure, untruth
霊|spirits, soul
悔|repent, regret
諭|rebuke, admonish, charge, warn, persuade
惨|wretched, disaster, cruelty, harsh
虐|tyrannize, oppress
翻|flip, turn over, wave, flutter, change (mind)
墜|crash, fall (down)
沼|marsh, lake, bog, swamp, pond
据|set, lay a foundation, install, equip, squat down, sit down
徐|gradually, slowly, deliberately, gently
搭|board, load (a vehicle), ride
盾|shield, escutcheon, pretext
滝|waterfall, rapids, cascade
軌|rut, wheel, track, model, way of doing
妨|disturb, prevent, hamper, obstruct
擦|grate, rub, scratch, scrape, chafe, scour
鯨|whale
荘|villa, inn, cottage, feudal manor
諾|consent, assent, agreement
雷|thunder, lightening bolt
漂|drift, float (on liquid)
懐|pocket, feelings, heart, yearn, miss someone, become attached to, bosom, breast
勘|intuition, perception
栽|plantation, planting
拐|kidnap, falsify
駄|burdensome, pack horse, horse load, send by horse
添|annexed, accompany, marry, suit, meet, satisfy, attach, append, garnish, imitate
冠|crown, best, peerless
斜|diagonal, slanting, oblique
浪|wandering, waves, billows
亜|Asia, rank next, come after, -ous
詐|lie, falsehood, deceive, pretend
壇|podium, stage, rostrum, terrace
勲|meritorious deed, merit
魔|witch, demon, evil spirit
酬|repay, reward, retribution
紫|purple, violet
紋|family crest, figures
卸|wholesale
欄|column, handrail, blank, space
逸|deviate, idleness, leisure, miss the mark, evade, elude, parry, diverge
涯|horizon, shore
拓|clear (the land), open, break up (land)
瓶|flower pot, bottle, vial, jar, jug, vat, urn
獄|prison, jail
尚|esteem, furthermore, still, yet
彫|carve, engrave, chisel
穏|calm, quiet, moderation
顕|appear, existing
巧|adroit, skilled, ingenuity
矛|halberd, arms, festival float
垣|hedge, fence, wall
欺|deceit, cheat, delude
釣|angling, fish, catch, allure, ensnare
缶|tin can, container
粧|cosmetics, adorn (ones person)
隻|vessels, no. of ships, fish, birds, arrows, one of a pair
粛|solemn, quietly, softly
愚|foolish, folly, absurdity, stupid
遭|encounter, meet, party, association, interview, join
架|erect, frame, mount, support, shelf, construct
鬼|ghost, devil
庶|commoner, all, bastard
稚|immature, young
滋|nourishing, more & more, be luxuriant, planting, turbidity
幻|phantasm, vision, dream, illusion, apparition
煮|boil, cook
姫|princess
誓|vow, swear, pledge
把|grasp, faggot, bunch, counter for bundles
践|tread, step on, trample, practice, carry through
呈|display, offer, present, send, exhibit
疎|alienate, rough, neglect, shun, sparse
仰|face-up, look up, depend, seek, respect, rever, drink, take
剛|sturdy, strength
疾|rapidly
征|subjugate, attack the rebellious, collect taxes
砕|smash, break, crush, familiar, popular
謡|noh chanting
嫁|marry into, bride
謙|self-effacing, humble oneself, condescend, be modest
嘆|sigh, lament, moan, grieve
菌|germ, fungus, bacteria
鎌|sickle, scythe, trick
頻|repeatedly, recur
琴|harp, koto
棚|shelf, ledge, rack, mount, mantle, trellis
酷|cruel, severe, atrocious, unjust
宰|superintend, manager, rule
廊|corridor, hall, tower
寂|loneliness, quietly, mellow, mature, death of a priest
伏|prostrated, bend down, bow, cover, lay (pipes)
碁|Go
俗|vulgar, customs, manners, worldliness, mundane things
漠|vague, obscure, desert, wide
邪|wicked, injustice, wrong
晶|sparkle, clear, crystal
墨|black ink, India ink, ink stick, Mexico
鎮|tranquilize, ancient peace-preservation centers
洞|den, cave, excavation
履|footgear, shoes, boots, put on (the feet
劣|inferiority, be inferior to, be worse
那|what?
殴|assault, hit, beat, thrash
娠|with child, pregnancy
奉|observance, offer, present, dedicate
憂|melancholy, grieve, lament, be anxious, sad, unhappy
朴|crude, simple, plain, docile
亭|pavilion, restaurant, mansion, arbor, cottage, vaudeville, music hall, stage name
怪|suspicious, mystery, apparition
酔|drunk, feel sick, poisoned, elated, spellbound
惜|pity, be sparing of, frugal, stingy, regret
穫|harvest, reap
佳|excellent, beautiful, good, pleasing, skilled
潤|wet, be watered, profit by, receive benefits, favor, charm, steep
悼|lament, grieve over
乏|destitution, scarce, limited
該|above-stated, the said, that specific
赴|proceed, get, become, tend
桑|mulberry
髄|marrow, pith
虎|tiger, drunkard
盆|basin, lantern festival, tray
穂|ear, ear (grain), head, crest (wave)
壮|robust, manhood, prosperity
堤|dike, bank, embankment
飢|hungry, starve
傍|bystander, side, besides, while, nearby, 3rd person
疫|epidemic
累|accumulate, involvement, trouble, tie up, continually
痴|stupid, foolish
搬|conveyor, carry, transport
癒|healing, cure, quench (thirst), wreak
郭|enclosure, quarters, fortification, red-light district
尿|urine
凶|villain, evil, bad luck, disaster
吐|spit, vomit, belch, confess, tell (lies)
宴|banquet, feast, party
賓|V.I.P., guest
虜|captive, barbarian, low epithet for the enemy
陶|pottery, porcelain
鐘|bell, gong, chimes
憾|remorse, regret, be sorry
弥|all the more, increasingly
昆|descendants, elder brother
粗|coarse, rough, rugged
訂|revise, correct, decide
傘|umbrella
騎|equestrian, riding on horses, counter for equestrians
寧|rather, preferably
循|sequential, fellow
忍|endure, bear, put up with, conceal, secrete, spy, sneak
怠|neglect, laziness
如|likeness, like, such as, as if, better, best, equal
寮|dormitory, hostel, villa, tea pavillion
鉛|lead
珠|pearl, gem, jewel
凝|congeal, freeze, stiff, be absorbed in
苗|seedling, sapling, shoot
獣|animal, beast
哀|pathetic, grief, sorrow, pathos, pity, sympathize
跳|hop, leap up, spring, jerk, prance, buck, splash, sputter, snap
匠|artisan, workman, carpenter
蛇|snake, serpent, hard drinker
澄|lucidity, be clear, clear, clarify, settle, strain, look grave
縫|sew, stitch, embroider
僧|Buddhist priest, monk
眺|stare, watch, look at, see, scrutinize
唐|T'ang, China
呉|give, do something for
凡|mediocre
憩|recess, rest, relax, repose
媛|beautiful woman, princess
溝|gutter, ditch, sewer, drain, 10**32
恭|respect, reverent
刈|reap, cut, clip, trim, prune
睡|drowsy, sleep, die
錯|confused, mix, be in disorder
伯|chief, count, earl, uncle, Brazil
陵|mausoleum, imperial tomb
霧|fog, mist
魂|soul, spirit
弊|abuse, evil, vice, breakage
妃|queen, princess
舶|liner, ship
餓|starve, hungry, thirst
窮|hard up, destitute, suffer, perplexed, cornered
掌|manipulate, rule, administer, conduct, palm of hand
麗|lovely, companion
臭|stinking, ill-smelling, suspicious looking, odor, savor, fragrance, be fragrant, stink, glow, be bright
悦|ecstasy, joy, rapture
刃|blade, sword, edge
縛|truss, arrest, bind, tie, restrain
暦|calendar, almanac
宜|best regards, good
盲|blind, blind man, ignoramus
粋|chic, style, purity, essence, pith, cream, elite, choice
辱|embarrass, humiliate, shame
轄|control, wedge
猿|monkey
弦|bowstring, chord, hypotenuse
窒|plug up, obstruct
炊|cook, boil
洪|deluge, flood, vast
摂|vicarious, surrogate, act in addition to
飽|sated, tired of, bored, satiate
冗|superfluous, uselessness
桃|peach tree
狩|hunt, raid, gather
朱|vermilion, cinnabar, scarlet, red, bloody
渦|whirlpool, eddy, vortex
紳|sire, good belt, gentleman
枢|hinge, pivot, door
碑|tombstone, monument
鍛|forge, discipline, train
鼓|drum, beat, rouse, muster
裸|naked, nude, uncovered, partially clothed
猶|furthermore, still, yet
塊|clod, lump, chink, clot, mass
旋|rotation, go around
幣|cash, bad habit, humble prefix, gift, Shinto offerings of cloth, rope, cut paper
膜|membrane
扇|fan, folding fan
槽|vat, tub, tank
慈|mercy
伐|fell, strike, attack, punish
漬|pickling, soak, moisten, steep
糾|twist, ask, investigate, verify
墳|tomb, mound
坪|two-mat area, ~36 sq ft
紺|dark blue, navy
慌|disconcerted, be confused, lose one's head
娯|recreation, pleasure
羅|gauze, thin silk, Rome
峡|gorge, ravine
俸|stipend, salary
厘|rin, 1/10sen, 1/10bu
峰|summit, peak
醸|brew, cause
弔|condolences, mourning, funeral
乙|the latter, duplicate, strange, witty
汁|soup, juice, broth, sap, gravy, pus
尼|nun
遍|everywhere, times, widely, generally
衡|equilibrium, measuring rod, scale
薫|fragrant, be scented, smoke (cigs)
猟|game-hunting, shooting, game, bag
款|goodwill, article, section, friendship, collusion
閲|review, inspection, revision
偵|spy
喝|hoarse, scold
敢|daring, sad, tragic, pitiful, frail, feeble
